loan_status,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
0 1,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,,,,,,,,,,,,,
0,32.0,1,0,96865.0,10,0,7500.0,1,6.04,0.08,10.0,601,0
0,24.0,1,0,56838.0,6,3,9000.0,1,11.49,0.16,4.0,647,1
1,22.0,0,4,37298.0,0,3,5000.0,3,14.88,0.13,4.0,711,0
0,23.0,0,1,39944.0,1,2,5000.0,5,13.99,0.13,3.0,597,1
1,42.0,1,3,67974.0,20,0,10000.0,2,15.41,0.15,11.0,586,0
0,31.0,0,1,28765.0,7,2,4500.0,4,5.79,0.16,9.0,669,0
0,31.0,0,1,100810.0,7,3,12000.0,4,12.42,0.12,7.0,670,1
1,25.0,0,1,45608.0,3,3,2800.0,2,16.29,0.06,3.0,628,0
1,25.0,0,3,88778.0,0,0,12000.0,2,11.11,0.14,4.0,590,0
0,29.0,0,0,54924.0,8,3,12000.0,3,12.99,0.22,8.0,672,0
1,28.0,1,1,21570.0,2,3,3344.0,0,13.01,0.15,6.0,574,0
0,33.0,0,1,133147.0,13,0,23800.0,3,10.25,0.18,5.0,650,0
1,24.0,1,4,39682.0,2,3,1500.0,3,9.91,0.04,3.0,587,0
0,27.0,1,1,81346.0,8,3,5000.0,4,14.09,0.06,5.0,607,1
0,23.0,1,4,85109.0,0,2,11000.0,5,7.14,0.13,4.0,653,0
0,26.0,1,0,73103.0,3,0,8000.0,4,16.77,0.11,2.0,552,1
0,30.0,0,0,56403.0,7,2,6000.0,4,12.68,0.11,6.0,690,1
0,39.0,0,0,46495.0,21,3,7000.0,0,11.49,0.15,11.0,631,0
0,35.0,0,0,60776.0,11,3,12000.0,3,13.47,0.20,7.0,610,1
0,25.0,0,4,90940.0,0,3,6400.0,4,15.99,0.07,2.0,489,1
1,26.0,1,0,62332.0,4,0,13000.0,0,15.33,0.21,2.0,622,0
0,43.0,1,3,55044.0,19,3,7000.0,1,5.42,0.13,12.0,662,0
0,39.0,0,3,54331.0,12,3,8000.0,3,12.53,0.15,14.0,586,0
1,22.0,1,3,32673.0,0,0,1550.0,2,11.01,0.05,2.0,630,0
0,32.0,0,1,85210.0,6,0,5000.0,3,11.47,0.06,6.0,680,0
0,29.0,0,4,60991.0,6,0,13650.0,3,10.99,0.22,9.0,626,1
0,31.0,0,1,163187.0,7,0,3574.0,5,13.13,0.02,9.0,553,1
0,21.0,1,1,53822.0,0,3,10000.0,4,14.74,0.19,4.0,642,0
0,29.0,1,1,85017.0,10,3,6125.0,5,7.49,0.07,8.0,678,0
0,26.0,1,3,74170.0,3,2,1500.0,2,12.84,0.02,2.0,623,0
0,29.0,1,1,112889.0,5,0,20000.0,4,16.82,0.18,8.0,652,1
0,35.0,0,1,92012.0,9,0,22000.0,2,9.88,0.24,8.0,535,1
0,32.0,1,4,94489.0,12,3,13000.0,2,12.53,0.14,10.0,607,1
0,30.0,1,4,157043.0,6,0,27000.0,5,11.71,0.17,6.0,676,1
1,30.0,1,1,41338.0,7,3,13724.0,3,15.49,0.33,10.0,691,0
0,47.0,1,4,47919.0,26,0,5600.0,1,8.59,0.12,11.0,658,0
0,33.0,0,0,37333.0,9,3,6500.0,0,8.49,0.17,10.0,697,1
1,25.0,1,0,81212.0,2,0,12000.0,0,9.63,0.15,4.0,636,0
0,26.0,1,3,120871.0,3,0,9200.0,5,6.03,0.08,3.0,677,0
1,24.0,1,4,86114.0,0,0,5000.0,0,14.96,0.06,3.0,663,0
0,23.0,0,1,79072.0,0,3,6000.0,1,11.99,0.08,2.0,627,1
0,24.0,1,1,93790.0,0,3,6822.0,5,10.75,0.07,4.0,608,1
0,29.0,0,1,67654.0,6,3,12000.0,0,7.88,0.18,8.0,669,0
0,24.0,1,0,235014.0,2,0,5000.0,3,8.90,0.02,3.0,703,0
0,27.0,0,0,151231.0,5,0,24000.0,2,6.91,0.16,8.0,660,0
1,25.0,1,1,51085.0,2,3,3200.0,3,15.70,0.06,2.0,618,0
1,33.0,1,1,47127.0,9,0,2558.0,4,15.90,0.05,6.0,633,0
1,22.0,0,1,36578.0,2,3,5000.0,1,11.12,0.14,3.0,475,0
0,29.0,0,3,29442.0,9,3,1000.0,3,9.99,0.03,7.0,614,1
0,31.0,0,4,100794.0,6,0,7500.0,3,11.01,0.07,10.0,557,1
0,25.0,0,3,76644.0,1,0,3000.0,1,13.47,0.04,2.0,666,1
0,25.0,1,0,79957.0,2,2,15000.0,4,7.49,0.19,4.0,641,1
1,24.0,0,0,92397.0,0,0,15000.0,1,12.63,0.16,3.0,513,0
1,25.0,0,0,44317.0,3,3,15000.0,0,15.05,0.34,2.0,613,0
1,23.0,0,1,16720.0,1,3,2457.0,5,12.89,0.15,4.0,636,0
1,28.0,1,1,39702.0,4,3,10234.0,3,7.36,0.26,8.0,615,0
0,22.0,1,0,30066.0,0,3,4500.0,1,11.49,0.15,2.0,648,0
0,29.0,0,1,85142.0,6,3,10000.0,2,11.01,0.12,8.0,680,0
0,50.0,1,1,55772.0,26,0,5000.0,4,7.90,0.09,16.0,687,0
0,22.0,0,0,74162.0,0,3,6000.0,1,11.01,0.08,4.0,586,1
1,26.0,0,1,64317.0,5,0,4000.0,3,11.89,0.06,4.0,658,0
0,24.0,1,4,66320.0,5,0,8000.0,4,8.63,0.12,4.0,626,0
0,36.0,1,0,97114.0,15,0,10000.0,5,6.62,0.10,14.0,661,1
0,36.0,0,1,90820.0,13,0,10000.0,2,11.75,0.11,12.0,696,1
0,23.0,0,1,85041.0,2,3,4800.0,4,11.01,0.06,2.0,578,1
0,26.0,0,4,82507.0,4,2,24250.0,4,12.18,0.29,4.0,702,1
0,23.0,1,3,46827.0,0,2,8400.0,5,13.80,0.18,2.0,685,1
0,25.0,1,3,67076.0,2,3,4000.0,1,8.57,0.06,3.0,601,1
0,32.0,0,3,53742.0,7,3,8000.0,3,10.32,0.15,10.0,648,1
0,29.0,1,0,96857.0,9,0,22000.0,3,10.59,0.23,10.0,673,0
0,23.0,1,1,74246.0,2,0,10000.0,0,7.88,0.13,3.0,583,1
0,23.0,0,3,111677.0,2,3,6887.0,5,12.23,0.06,4.0,577,1
